ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
284,,50,1000,10,2,2,0,00
285,,50,1000,10,2,5,0,00
286,,50,1000,10,5,1,0,00
287,,50,1000,10,5,2,0,00
288,,50,1000,10,5,5,0,00
289,,50,0,1,1,1,0,00
290,,50,0,1,1,2,0,00
291,,50,0,1,1,5,0,00
292,,50,0,1,2,1,0,00
293,,50,0,1,2,2,0,00
294,,50,0,1,2,5,0,00
295,,50,0,1,5,1,0,00
296,,50,0,1,5,2,0,00
297,,50,0,1,5,5,0,00
298,,50,0,2,1,1,0,00
299,,50,0,2,1,2,0,00
300,,50,0,2,1,5,0,00
301,,50,0,2,2,1,0,00
302,,50,0,2,2,2,0,00
303,,50,0,2,2,5,0,00
304,,50,0,2,5,1,0,00
305,,50,0,2,5,2,0,00
306,,50,0,2,5,5,0,00
307,,50,0,5,1,1,0,00
308,,50,0,5,1,2,0,00
309,,50,0,5,1,5,0,00
310,,50,0,5,2,1,0,00
311,,50,0,5,2,2,0,00
312,,50,0,5,2,5,0,00
313,,50,0,5,5,1,0,00
314,,50,0,5,5,2,0,00
315,,50,0,5,5,5,0,00
316,,50,0,10,1,1,0,00
317,,50,0,10,1,2,0,00
318,,50,0,10,1,5,0,00
319,,50,0,10,2,1,0,00
320,,50,0,10,2,2,0,00
321,,50,0,10,2,5,0,00
322,,50,0,10,5,1,0,00
323,,50,0,10,5,2,0,00
324,,50,0,10,5,5,0,00
325,,50,1,1,1,1,0,00
326,,50,1,1,1,2,0,00
327,,50,1,1,1,5,0,00
328,,50,1,1,2,1,0,00
329,,50,1,1,2,2,0,00
330,,50,1,1,2,5,0,00
331,,50,1,1,5,1,0,00
332,,50,1,1,5,2,0,00
333,,50,1,1,5,5,0,00
334,,50,1,2,1,1,0,00
335,,50,1,2,1,2,0,00
336,,50,1,2,1,5,0,00
337,,50,1,2,2,1,0,00
338,,50,1,2,2,2,0,00
339,,50,1,2,2,5,0,00
340,,50,1,2,5,1,0,00
341,,50,1,2,5,2,0,00
342,,50,1,2,5,5,0,00
343,,50,1,5,1,1,0,00
344,,50,1,5,1,2,0,00
345,,50,1,5,1,5,0,00
346,,50,1,5,2,1,0,00
347,,50,1,5,2,2,0,00
348,,50,1,5,2,5,0,00
349,,50,1,5,5,1,0,00
350,,50,1,5,5,2,0,00
351,,50,1,5,5,5,0,00
352,,50,1,10,1,1,0,00
353,,50,1,10,1,2,0,00
354,,50,1,10,1,5,0,00
355,,50,1,10,2,1,0,00
356,,50,1,10,2,2,0,00
357,,50,1,10,2,5,0,00
358,,50,1,10,5,1,0,00
359,,50,1,10,5,2,0,00
360,,50,1,10,5,5,0,00
361,,50,2,1,1,1,0,00
362,,50,2,1,1,2,0,00
363,,50,2,1,1,5,0,00
364,,50,2,1,2,1,0,00
365,,50,2,1,2,2,0,00
366,,50,2,1,2,5,0,00
367,,50,2,1,5,1,0,00
368,,50,2,1,5,2,0,00
369,,50,2,1,5,5,0,00
